"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
2915,90846,PR FAMILY PSYCHOTHERAPY W/O PATIENT PRESENT 50 MINS,$282.00,
2916,90847,PR FAMILY PSYCHOTHERAPY W/PATIENT PRESENT 50 MINS,$319.00,
2917,90853,PR GROUP PSYCHOTHERAPY,$177.00,
2918,90875,PR INDIV PSYCHOPHYS BIOFEED TRAIN W/PSYTX 30 MIN,$164.15,
2919,90889,PR PREP REPORT PT PSYCH STATUS AGENCY/PAYER,$173.00,
2920,90935,PR HEMODIALYSIS PROCEDURE W/ PHYS/QHP EVALUATION,$640.00,
2921,90937,"PR HEMODIALYSIS, REPEATED EVAL.",$872.00,
2922,90945,PR DIALYSIS OTHER/THAN HEMODIALYSIS 1 PHYS/QHP EVAL,$603.00,
2923,90947,PR DIALYSIS OTH/THN HEMODIALY REPEAT PHYS/QHP EVALS,$941.00,
2924,90961,PR ESRD RELATED SVC MONTHLY 20/>YR OLD 2/3 VISITS,"$1,817.00",
2925,90962,PR ESRD RELATED SVC MONTHLY 20&/>YR OLD 1 VISIT,"$1,344.00",
2926,90965,"PR ESRD SERVICES, HOME DIALYSIS, PER MONTH, 12-19 YR OLD","$3,707.00",
2927,90966,"PR ESRD SERVICES, HOME DIALYSIS, PER MONTH, 20+ YR OLD","$1,817.00",
2928,91010,"PR ESOPHAGEAL MOTILITY STUDY, MANOMETRY",$520.00,
2929,91013,"PR ESOPHAGEAL MOTILITY STUDY, MANOMETRY W STIMULATION/PERFUSION",$80.00,
2930,91040,PR ESOPH BALLOON DISTENSION TST,$568.00,
2931,91110,PR GI IMAG INTRALUMINAL ESOPHAGUS-ILEUM W/I&R,"$1,773.00",
2932,91112,PR GI TRANSIT & PRES MEAS WIRELESS CAPSULE W/INTERP,$909.00,
2933,91122,PR ANAL PRESSURE RECORD,$560.00,
2934,92015,PR REFRACTION,$136.00,
2935,92018,"PR EYE EXAM UNDER GEN ANESTH, COMPLETE",$974.00,
2936,92020,"PR SPECIAL EYE EVAL,GONISCOPY",$123.00,
2937,92025,PR CORNEAL TOPOGRAPHY,$132.00,
2938,92060,"PR SPECIAL EYE EVAL,SENSORIMOTOR",$179.00,
2939,92071,PR FIT CONTACT LENS TX OCULAR SURFACE DISEASE,$267.00,
2940,92081,"PR VISUAL FIELD EXAM,LIMITED",$175.00,
2941,92082,"PR VISUAL FIELD EXAM,INTERMED",$98.00,
2942,92083,"PR VISUAL FIELD EXAM,EXTENDED",$145.00,
2943,92132,PR COMPUTERIZED OPHTHALMIC IMAGING ANTERIOR SEGMENT,$156.00,
2944,92133,PR COMPUTERIZED OPHTHALMIC IMAGING OPTIC NERVE,$235.00,
2945,92134,PR COMPUTERIZED OPHTHALMIC IMAGING RETINA,$235.00,
2946,92225,"PR SPECIAL EYE EXAM, INITIAL",$190.00,
2947,92226,"PR SPECIAL EYE EXAM, SUBSEQUENT",$189.00,
2948,92235,PR FLUORESCEIN ANGRPH W/MULTIFRAME I&R UNI/BI,$264.00,
2949,92240,PR INDOCYANINE-GREEN ANGRPH W/MULTIFRAME I&R UNI/BI,$458.00,
2950,92250,PR FUNDAL PHOTOGRAPHY,$138.00,
2951,92285,PR EYE PHOTOGRAPHY,$108.00,
2952,92504,PR EAR MICROSCOPY EXAMINATION,$113.00,
2953,92511,PR NASOPHARYNGOSCOPY,$311.00,
2954,92522,PR EVALUATION OF SPEECH SOUND PRODUCTION ARTICULATE,$647.00,
2955,92524,PR BEHAVIORAL & QUALIT ANALYSIS VOICE AND RESONANCE,$647.00,
2956,92526,PR ORAL FUNCTION THERAPY,$217.00,
2957,92557,PR COMPREHENSIVE HEARING TEST,$167.00,
2958,92585,PR AUDITORY EVOKED POTENTIAL,$361.00,
2959,92597,PR EVAL VOICE PROSTH DEVICE,$416.00,
2960,92610,"PR EVAL,ORAL & PHARYNGEAL SWALLOW FUNCTION",$326.18,
2961,92611,"PR EVAL,SWALLOW FUNCTION,CINE/VIDEO RECORD",$682.05,
2962,92612,PR FLEXIBLE ENDOSCOPIC EVAL SWALLOW C/V REC,$528.21,
2963,92920,PR PRQ TRLUML CORONARY ANGIOPLASTY ONE ART/BRANCH,"$4,368.00",
2964,92921,PR PRQ TRLUML CORONARY ANGIOPLASTY ADDL BRANCH,"$2,184.00",
2965,92924,PR PRQ TRLUML CORONARY ANGIO/ATHERECT ONE ART/BRNCH,"$5,186.00",
2966,92928,PR PRQ TRLUML CORONARY STENT W/ANGIO ONE ART/BRNCH,"$4,848.00",
2967,92929,PR PRQ TRLUML CORONARY STENT W/ANGIO ADDL ART/BRNCH,"$2,424.00",
2968,92933,PR PRQ TRLUML CORONRY STENT/ATH/ANGIO ONE ART/BRNCH,"$5,424.00",
2969,92934,PR PRQ TRLUML CORONARY STENT/ATH/ANGIO ADDL BRANCH,"$1,252.00",
2970,92937,PR PRQ TRLUML CORONARY BYP GRFT REVASC ONE VESSEL,"$4,844.00",
2971,92941,PR PRQ TRLUML CORONRY TOT OCCLUS REVASC MI ONE VSL,"$5,432.00",
2972,92943,PR PRQ TRLUML CORONRY CHRONIC OCCLUS REVASC ONE VSL,"$5,432.00",
2973,92944,PR PRQ TRLUML CORONRY CHRNIC OCCLUS REVASC ADDL VSL,"$1,145.00",
2974,92950,PR HEART/LUNG RESUSCITATION (CPR),$947.00,
2975,92960,PR CARDIOVERSION ELECTIVE ARRHYTHMIA EXTERNAL,$698.00,
2976,92978,PR ENDOLUMINAL CORONARY IVUS OCT I&R INITIAL VESSEL,"$1,162.00",
2977,92979,PR ENDOLUMINAL CORONARY IVUS OCT I&R ADDL VESSEL,$655.00,
2978,93010,PR ELECTROCARDIOGRAM REPORT,$57.00,
2979,93016,PR CV STRS TST XERS&/OR RX CONT ECG W/O I&R,$204.00,
2980,93018,"PR CARDIAC STRESS TST,INTERP/REPT ONLY",$204.00,
2981,93024,PR CARDIAC DRUG STRESS TEST,$455.00,
2982,93227,PR XTRNL ECG CONTINUOUS RHYTHM W/I&R UP TO 48 HRS,$356.00,
2983,93261,PR INTERROGATION EVAL F2F IMPLANT SUBQ LEAD DEFIB,$321.90,
2984,93279,PR PROGRAM EVAL IMPLANTABLE IN PRSN 1 LD PACEMAKER,$277.00,
2985,93280,PR PROGRAM EVAL IMPLANTABLE IN PERSN DUAL LD PACER,$346.00,
2986,93281,PR PROGRAM EVAL IMPLANTABLE IN PRSN MULTI LD PACER,$384.00,
2987,93282,PR PROGRAM EVAL IMPLANTABLE IN PERSN 1 LD CARD/DFB,$363.00,
2988,93283,PR PROGRM EVAL IMPLANTABLE IN PRSN DUAL L CARD/DFB,$471.00,
2989,93284,PR PROGRM EVAL IMPLANTABLE IN PRSN MLT LD CARD/DFB,$533.00,
2990,93285,PR PROGRAM EVAL IMPLANTABLE DEV IN PRSN ILR SYSTEM,$222.00,
2991,93286,PR PERI-PX EVAL&PROGRAM IN PRSN PACEMAKER SYSTEM,$135.00,
2992,93287,PR PERI-PX DEV EVAL & PROG SING/DUAL/MULTI LEAD DFB,$217.00,
2993,93288,PR INTERROGATION EVAL IN PERSON 1/DUAL/MLT LEAD PM,$201.00,
2994,93289,PR INTERROGATION EVAL F2F 1/DUAL/MLT LEADS CVDFB,$366.00,
2995,93291,PR INTERROGATION EVALUATION IN PERSON ILR SYSTEM,$193.00,
2996,93294,PR INTERROGATION EVAL REMOTE </90 D 1/2/MLT LEAD PM,$277.00,
2997,93295,PR INTERROGATION EVAL REMOTE </90 D 1/2/MLT LD DFB,$499.00,
2998,93296,PR INTERROGATION REMOTE </90 D TECHNICIAN REVIEW,$83.61,
2999,93298,PR INTERROGATION EVALUATION REMOTE </30 D ILR SYS,$222.00,
3000,93299,PB UNLISTED INTERROGATION EVAL REMOTE </30 D TECH REVIEW ,$59.98,
3001,93306,"PR ECHO HEART XTHORACIC,COMPLETE W DOPPLER",$555.00,
3002,93307,"PR ECHO HEART XTHORACIC,COMPLETE, W/O DOPPLER",$374.00,
3003,93308,"PR ECHO HEART XTHORACIC,LIMITED",$198.00,
3004,93312,PR ECHO TRANSESOPHAG R-T 2D W/PRB IMG ACQUISJ I&R,$944.00,
3005,93317,PR ECHO TRANSESOPHAG IMAGE ACQUISJ INTERP&REPORT,$466.00,
3006,93321,"PR DOPPLER ECHO HEART,LIMITED,F/U",$129.00,
3007,93325,PR DOPPLER COLOR FLOW VELOCITY MAP,$360.00,
3008,93350,"PR ECHO HEART XTHORACIC, STRESS/REST",$597.00,
3009,93451,PR RIGHT HEART CATH O2 SATURATION & CARDIAC OUTPUT,"$1,213.00",
3010,93453,PR R & L HRT CATH W/NJX L VENTRICULOG IMG S&I,"$2,783.00",
3011,93454,PR CATH PLACEMENT & NJX CORONARY ART ANGIO IMG S&I,"$2,136.00",
3012,93455,PR CATH PLMT & NJX CORONARY ART/GRFT ANGIO IMG S&I,"$2,470.00",
3013,93456,PR CATH PLMT R HRT & ARTS W/NJX & ANGIO IMG S&I,"$2,742.00",
3014,93457,PR CATH PLMT R HRT/ARTS/GRFTS W/NJX& ANGIO IMG S&I,"$3,072.00",
3015,93458,PR CATH PLMT L HRT & ARTS W/NJX & ANGIO IMG S&I,"$2,609.00",
3016,93459,PR CATH PLMT L HRT/ARTS/GRFTS WNJX & ANGIO IMG S&I,"$2,943.00",
3017,93460,PR R & L HRT CATH WINJX HRT ART& L VENTR IMG,"$3,278.00",
3018,93461,PR R& L HRT CATH W/INJEC HRT ART/GRFT& L VENT I,"$3,612.00",
3019,93463,PR MEDICATION ADMIN & HEMODYNAMIC MEASURMENT,$892.00,
3020,93505,PR ENDOMYOCARDIAL BIOPSY,"$1,737.00",
3021,93564,PR NJX SEL HRT ART/GRFT CONGENITAL HRT CATH W/S&I,$504.00,
3022,93567,PR NJX SUPRAVALV AORTOG HRT CATH W/S&I,$433.00,
3023,93568,PR NJX PULMONARY ANGIO HRT CATH W/S&I,$414.00,
3024,93571,PR IV DOP VEL&/OR PRESS C/FLO RSRV MEAS 1ST VSL,$715.00,
3025,93572,PR IV DOP VEL&/OR PRESS C/FLO RSRV MEAS ADDL VSL,$589.00,
3026,93613,PR INTRACARDIAC ELECTROPHYSIOLOGIC 3D MAPPING,"$1,338.00",
3027,93619,PR COMPRE ELECTROPHYSIOLOGIC W/O ARRHYT INDUCTION,"$2,940.00",
3028,93620,PR COMPRE ELECTROPHYSIOLOGIC ARRHYTHMIA INDUCTION,"$3,231.00",
3029,93621,PR COMPRE ELECTROPHYSIOL XM W/LEFT ATRIAL PACNG/REC,"$2,880.00",
3030,93623,PR STIM/PACING HEART POST IV DRUG INFU,$871.00,
3031,93653,PR EPHYS EVAL W/ABLATION SUPRAVENT ARRHYTHMIA,"$6,487.00",
3032,93702,PR BIS EXTRACELLULAR FLUID ALYS LYMPHEDEMA ASSMNT,$244.23,
3033,93799,PB UNLISTED CARDIOVASCULAR SERVICE/PROCEDURE,$322-$2697,
3034,93880,"PR DUPLEX SCAN EXTRACRANIAL,BILAT",$568.00,
3035,93886,PR TRANSCRAN DOPPLER INTRACRAN ART,$462.00,
3036,93888,"PR TRANSCRAN DOPPLER INTRACRAN,LIMITED",$407.00,
3037,93922,PR NON-INVAS PHYSIOLOGIC STD EXTREMITY ART 1-2 LEVEL,$235.00,
3038,93923,PR NON-INVASIVE PHYSIOLOGIC STUDY EXTREMITY 3 LEVELS,$640.50,
3039,93925,PR DUPLEX LO EXTREM ART BILAT,$896.63,
3040,93926,PR DUPLEX LO EXTREM ART UNILAT/LTD,$227.00,
3041,93930,PR DUPLEX UP EXTREM ART BILAT,$345.00,
3042,93931,PR DUPLEX UP EXTREM ART UNILAT/LTD,$229.00,
3043,93970,"PR DUPLEX EXTREM VENOUS,BILAT",$381.00,
3044,93971,"PR DUPLEX EXTREM VENOUS,UNI OR LTD",$253.00,
3045,93975,"PR DUPLEX ABD/PEL VASC STUDY,COMPLETE",$847.74,
3046,93976,"PR DUPLEX ABD/PEL VASC STUDY,LIMITD",$376.70,
3047,93978,"PR DUPLEX LARGE VESSEL(S),COMPLETE",$470.00,
3048,93979,"PR DUPLEX LARGE VESSEL(S),LIMITED",$238.00,
3049,93980,"PR PENILE VASCULAR STUDY,COMPLETE",$410.00,
3050,93990,PR DUPLEX HEMODIALYSIS ACCESS,$308.00,
3051,94002,"PR VENT MANAGEMENT, INPATIENT, INITIAL DAY",$660.00,
3052,94010,PR BREATHING CAPACITY TEST,$116.00,
3053,94060,PR EVAL OF BRONCHOSPASM,$149.00,
3054,94070,"PR EVAL OF BRONCHOSPASM,PROLONGED",$293.00,
3055,94450,PR HYPOXIA RESPONSE CURVE,$106.00,
3056,94618,PR PULMONARY STRESS TESTING,$187.00,
3057,94621,PR CARDIOPULMONARY EXERCISE TESTING,$219.00,
3058,94726,PR PLETHYSMOGRAPHY LUNG VOLUMES W/WO AIRWAY RESIST,$114.00,
3059,94727,PR GAS DILUT/WASHOUT LUNG VOL W/WO DISTRIB VENT&VOL,$114.00,
3060,94729,PR DIFFUSING CAPACITY,$74.00,
3061,95004,PR PERCUTANEOUS TESTS W/ALLERGENIC EXTRACTS,$16.24,
3062,95018,PR ALLG TEST PERQ & IC DRUG/BIOL IMMED REACT W/ I&R,$61.00,
3063,95076,PR INGESTION CHALLENGE TEST INITIAL 120 MINUTES,$649.00,
3064,95250,PR CONT GLUC MNTR PHYSICIAN/QHP PROVIDED EQUIPTMENT,$419.57,
3065,95251,PR CONTINUOUS GLUCOSE MONITORING ANALYSIS I&R,$105.38,
3066,95800,"PR SLEEP STUDY, UNATTENDED, RECORD HEART RATE/O2 SAT/RESP ANAL/SLEEP TIME",$468.00,
3067,95806,"PR SLEEP STUDY, UNATTENDED, SIMUL RECORD HR/O2 SAT/RESP FLOW/RESP EFF",$728.41,
3068,95810,PR POLYSOM 6/>YRS SLEEP 4/> ADDL PARAM ATTND,"$1,501.00",
3069,95811,PR POLYSOM 6/>YRS SLEEP W/CPAP 4/> ADDL PARAM ATTND,"$1,542.00",
3070,95812,"PR EEG,EXTENDED MONITORING,41-60 MINUTES",$396.00,
3071,95813,PR EEG >1 HR,$532.00,
3072,95816,"PR EEG,W/AWAKE & DROWSY RECORD",$332.00,
3073,95819,"PR EEG,W/AWAKE & ASLEEP RECORD",$404.00,
3074,95822,"PR EEG,COMA/SLEEP RECORD ONLY",$512.00,
3075,95829,PR SURGERY ELECTROCORTICOGRAM,"$2,710.00",
3076,95860,"PR EMG, NEEDLE, ONE LIMB",$318.00,
3077,95861,"PR EMG, NEEDLE, TWO LIMBS",$638.00,
3078,95867,"PR EMG,NEEDLE,CRANIAL NERVE SUPP MUS,UNILAT",$324.00,
3079,95868,"PR EMG, NEEDLE, HEAD OR NECK",$540.00,
3080,95869,"PR EMG,NEEDLE,THOR PARASPIN MUS,EXC T1/T12",$229.00,
3081,95870,"PR EMG,1 EXTREM,NONPARASPINAL",$240.00,
3082,95873,PR ELECTRIC STIM GUIDANCE FOR CHEMODENERVATION,$71.00,
3083,95874,PR NEEDLE EMG GUIDANCE FOR CHEMODENERVATION,$160.00,
3084,95885,PR NEEDLE EMG EA EXTREMITY W/PARASPINL AREA LIMITED,$395.05,
3085,95886,PR NEEDLE EMG EA EXTREMTY W/PARASPINL AREA COMPLETE,$402.00,
3086,95887,PR NEEDLE EMG NONEXTREMTY MSCLES W/NERVE CONDUCTION,$964.76,
3087,95907,PR MOTOR &/SENS 1-2 NRV CNDJ PRECONF ELTRODE LIMB,$433.00,
3088,95909,PR MOTOR &/SENS 5-6 NRV CNDJ PRECONF ELTRODE LIMB,$831.44,
3089,95910,PR MOTOR &/SENS 7-8 NRV CNDJ PRECONF ELTRODE LIMB,$865.00,
3090,95911,PR MOTOR &/SENS 9-10 NRV CNDJ PRECONF ELTRODE LIMB,"$1,082.00",
3091,95912,PR MOTOR &/SENS 11-12 NRV CNDJ PRECONF ELTRODE LIMB,"$1,298.00",
3092,95913,PR MOTOR &/SENS 13/> NRV CNDJ PRECONF ELTRODE LIMB,"$1,540.00",
3093,95925,"PR SOMATOSENSORY TEST,UPPER LIMBS",$496.00,
3094,95926,"PR SOMATOSENSORY TEST,LOWER LIMBS",$484.00,
3095,95928,"PR C MOTOR EVOKED, UPLIMBS",$665.00,
3096,95930,PR VISUAL EP TESTING CNS EXCEPT GLAUCOMA W/I&R,$236.80,
3097,95933,PR BLINK REFLEX TEST,$219.00,
3098,95937,PR NEUROMUSCULAR JUNCTION TEST,$349.06,
3099,95938,PR SHORT-LATENCY SOMATOSENS EP STD UPR & LOW LIMBS,$456.64,
3100,95939,PR CTR MOTR EP STD TRANSCRNL MOTR STIM UPR&LOW LIMB,$984.00,
3101,95940,PR IONM 1 ON 1 IN OR W/ATTENDANCE EACH 15 MINUTES,$260.00,
3102,95941,PR IONM REMOTE/NEARBY/>1 PATIENT IN OR PER HOUR,$472.07,
3103,95953,"PR EEG MONITORING/COMPUTER, EA 24 HOURS, UNATTENDED",$790.00,
3104,95955,PR EEG DURING SURGERY,$489.00,
3105,95961,PR FUNCJAL CORT&SUBCORT MAPG PHYS/QHP ATTND INIT HR,$776.00,
3106,95962,PR FUNCJAL CORT&SUBCORT MAPG PHYS/QHP ATTND ADDL HR,$527.30,
3107,95970,"PR ANALYZE NEUROSTIM,NO REPROG",$315.00,
3108,95971,"PR ANALYZE NEUROSTIM,SIMPLE/PROG",$292.00,
3109,95972,"PR ANALYZE NEUROSTIM,COMPLX/PROG, 1ST HR",$554.00,
3110,95992,"PR CANALITH REPOSITIONING PROCEDURE, PER DAY",$336.00,
3111,96020,PR TEST SELECT & ADMN FUNCTL BRAIN MAP PHYS/QHP,$439.81,
3112,96040,"PR GENETIC COUNSELING, EACH 30 MIN",$104.03,
3113,96116,PR NEUROBEHAVIORAL STATUS EXAM BY PSYCH/PHYS,$323.00,
3114,96118,PR NEUROPSYCH TESTING BY PSYCH/PHYS,$293.00,
3115,96119,PR NEUROPSYCH TESTING BY TECHNICIAN,$301.00,
3116,96127,PR BEHAV ASSMT W/SCORE & DOCD/STAND INSTRUMENT,$41.00,
3117,96150,"PR HEAL & BEHAV ASSESS,EA 15 MIN,INIT",$110.00,
3118,96151,"PR HEAL & BEHAV ASSESS,EA 15 MIN,RE-ASSESS",$62.76,
3119,96152,"PR HEAL & BEHAV INTERVENT,EA 15 MIN,INDIV",$59.57,
3120,96153,"PR HEAL & BEHAV INTERVENT,EA 15 MIN,GROUP",$66.00,
3121,96372,"PR INJECTION,THERAP/PROPH/DIAGNOST, IM OR SUBCUT",$73.00,
3122,96401,"PR CHEMOTHER,NON-HORMONE ANTI-NEOPL, SUB-Q/IM",$206.00,
3123,96402,PR CHEMOTHER HORMON ANTINEOPL SUB-Q/IM,$232.00,
3124,96405,"PR INTRALESIONAL CHEMO ADMIN,<8 LESN",$176.00,
3125,96406,"PR INTRALESIONAL CHEMO ADMIN,8+ LESN",$268.00,
3126,96450,"PR CHEMOTHER,CNS,W/LUMBAR PUNCTURE",$781.00,
3127,96542,"PR CHEMOTHER INJECT,SUBARACH/INTRAVENT",$486.00,
3128,96549,"PR CHEMOTHERAPY, UNSPECIFIED PROCEDURE, HIPEC - HYPOTHERMIC INTRAPERITONEAL CHEMOTHERAPY","$4,680.00",
3129,96567,PR PDT DSTR PRMLG LES SKN ILLUM/ACTIVJ PER DAY,"$1,054.00",
3130,97110,PR THERAPEUTIC EXERCISES,$76.00,
3131,97140,"PR MANUAL THER TECH,1+REGIONS,EA 15 MIN",$79.00,
3132,97530,PR THERAPEUT ACTVITY DIRECT PT CONTACT EACH 15 MIN,$85.00,
3133,97597,PR DEBRIDEMENT OPEN WOUND 20 SQ CM<,$234.00,
3134,97598,PR DEBRIDEMENT OPEN WOUND EA ADDL 20 SQ CM,$322.00,
3135,97605,"PR NEG PRESS WOUND TX, < 50 CM",$330.00,
3136,97606,"PR NEG PRESS WOUND TX, > 50 CM",$488.00,
3137,98966,PR NONPHYSICIAN TELEPHONE ASSESSMENT 5-10 MIN,$25.19,
3138,98967,PR NONPHYSICIAN TELEPHONE ASSESSMENT 11-20 MIN,$50.39,
3139,99070,PR SUPPLIES&MATERIALS ABOVE/BEYOND PROV BY PHYS/QHP,$36.46,
3140,99140,PR EMERGENCY ANESTHESIA,$349.22,
3141,99140,PR EMERGENCY ANESTHESIA,$349.22,
3142,99151,PR MOD SED SAME PHYS/QHP INITIAL 15 MINS <5 YRS,$202.00,
3143,99151,PR MOD SED SAME PHYS/QHP INITIAL 15 MINS <5 YRS,$202.00,
3144,99152,PR MOD SED SAME PHYS/QHP INITIAL 15 MINS 5/> YRS,$101.00,
3145,99152,PR MOD SED SAME PHYS/QHP INITIAL 15 MINS 5/> YRS,$101.00,
3146,99153,PR MOD SED SAME PHYS/QHP EACH ADDL 15 MINS,$75.00,
3147,99153,PR MOD SED SAME PHYS/QHP EACH ADDL 15 MINS,$75.00,
3148,99155,PR MOD SED OTHER PHYS/QHP INITIAL 15 MINS <5 YRS,$767.00,
3149,99156,PR MOD SED OTHER PHYS/QHP INITIAL 15 MINS 5/> YRS,$666.00,
3150,99157,PR MOD SED OTHER PHYS/QHP EACH ADDL 15 MINS,$504.00,
3151,99195,PR PHLEBOTOMY,$236.00,
3152,99201,PR NEW OUTPT E&M STRAIGHTFORWARD/ PROBLEM FOCUSED (LEVEL 1),$124.00,
3153,99202,PR NEW OUTPT E&M STRAIGHTFORWARD/ EXPANDED PROB FOC (LEVEL 2),$177.00,
3154,99203,PR NEW OUTPT E&M LOW COMPLEXITY/ DETAILED (LEVEL 3),$261.00,
3155,99204,PR NEW OUTPT E&M MOD COMPLEXITY/ COMPREHENSIVE (LEVEL 4),$379.00,
3156,99205,PR NEW OUTPT E&M HIGH COMPLEXITY/ COMPREHENSIVE (LEVEL 5),$479.00,
3157,99211,PR ESTAB OUTPT E&M MINIMAL (LEVEL 1),$53.69,
3158,99212,PR ESTAB OUTPT E&M STRAIGHTFORWARD/ PROBLEM FOCUSED (LEVEL 2),$103.00,
3159,99213,PR ESTAB OUTPT E&M LOW COMPLEXITY/ EXPANDED PROB FOC (LEVEL 3),$144.16,
3160,99214,PR ESTAB OUTPT E&M MOD COMPLEXITY/ DETAILED (LEVEL 4),$225.00,
3161,99215,PR ESTAB OUTPT E&M HIGH COMPLEXITY/ COMPREHENSIVE (LEVEL 5),$456.00,
3162,99217,PR OBSERVATION CARE DISCHARGE MANAGEMENT,$192.00,
3163,99218,PR INITIAL OBSERVATION CARE/DAY 30 MINUTES,$240.00,
3164,99219,PR INITIAL OBSERVATION CARE/DAY 50 MINUTES,$325.00,
3165,99220,PR INITIAL OBSERVATION CARE/DAY 70 MINUTES,$441.90,
3166,99221,PR INIT HOSP CARE E&M LOW COMPLEXITY (LEVEL 1),$267.00,
3167,99222,PR INIT HOSP CARE E&M MOD COMPLEXITY (LEVEL 2),$359.00,
3168,99223,PR INIT HOSP CARE E&M HIGH COMPLEXITY (LEVEL 3),$488.48,
3169,99224,PR SUBSQT OBSRV CARE E&M LOW (LEVEL 1),$87.18,
3170,99225,PR SUBSQT OBSRV CARE E&M MOD (LEVEL 2),$161.46,
3171,99226,PR SUBSQT OBSRV CARE E&M HIGH (LEVEL 3),$243.67,
3172,99231,PR SUBSQT HOSP CARE E&M LOW COMPLEXITY/ PROB FOCUSED (LEVEL 1),$141.00,
3173,99232,PR SUBSQT HOSP CARE E&M MOD COMPLEXITY/ EXPANDED PROB FOC (LEVEL 2),$192.00,
3174,99233,PR SUBSQT HOSP CARE E&M HIGH COMPLEXITY/ DETAILED (LEVEL 3),$283.00,
3175,99234,PR OBSERVATION SAME DAY 40 MIN,$366.00,
3176,99235,PR OBSERVATION SAME DAY 50 MIN,$464.94,
3177,99236,PR OBSERVATION SAME DAY 55 MIN,$579.04,
3178,99238,PR HOSP DSCHG DAY MGMT 30 MIN OR LESS (LEVEL 1),$187.00,
3179,99239,PR HOSP DSCHG DAY MGMT >30 MIN (LEVEL 2),$267.00,
3180,99241,PR CONSULT OUTPT STRAIGHTFORWARD/ PROBLEM FOCUSED (LEVEL 1),$182.00,
3181,99242,PR CONSULT OUTPT STRAIGHTFORWARD/ EXPANDED PROB FOC (LEVEL 2),$269.00,
3182,99243,PR CONSULT OUTPT LOW COMPLEXITY/ DETAILED (LEVEL 3),$355.00,
3183,99244,PR CONSULT OUTPT MOD COMPLEXITY/ COMPREHENSIVE (LEVEL 4),$475.00,
3184,99245,PR CONSULT OUTPT HIGH COMPLEXITY/ COMPREHENSIVE (LEVEL 5),$649.00,
3185,99251,PR INPT CONSULT STRAIGHTFORWARD/ PROBLEM FOCUSED (LEVEL 1),$202.00,
3186,99252,PR INPT CONSULT STRAIGHTFORWARD/ EXPANDED PROB FOC (LEVEL 2),$259.00,
3187,99253,PR INPT CONSULT LOW COMPLEXITY/ DETAILED (LEVEL 3),$341.88,
3188,99254,PR INPT CONSULT MOD COMPLEXITY/ COMPREHENSIVE (LEVEL 4),$440.83,
3189,99255,PR INPT CONSULT HIGH COMPLEXITY/ COMPREHENSIVE (LEVEL 5),$553.00,
3190,99281,PR EMERG VISIT E&M SELF LIMITED/MINOR (LEVEL 1),$179.00,
3191,99282,PR EMERG VISIT E&M LOW/MOD SEVERITY (LEVEL 2),$270.70,
3192,99283,PR EMERG VISIT E&M MOD SEVERITY (LEVEL 3),$342.69,
3193,99284,PR EMERG VISIT E&M HIGH SEVERITY/ URGENT (LEVEL 4),$547.00,
3194,99285,PR EMERG VISIT E&M HIGH SEVERITY/ SIGNIFICANT THREAT (LEVEL 5),$822.00,
3195,99291,"PR CRITICAL CARE, E/M 30-74 MINUTES",$826.00,
3196,99292,"PR CRITICAL CARE, ADDL 30 MIN",$399.00,
3197,99354,"PR PROLONGED SERV,OFFICE,1ST HR",$416.00,
3198,99355,"PR PROLONGED SERV,OFFICE,EA ADD 30 MIN",$307.00,
3199,99356,"PR PROLONGED SERV,INPATIENT,1ST HR",$488.00,
3200,99357,"PR PROLONGED SERV,INPATIENT,EA ADD 30 MIN",$262.00,
3201,99360,PR PHYS STANDBY SVC PROLNG PHYS ATTN EA 30 MINUTES,$244.00,
3202,99366,PR TEAM CONFERENCE FACE-TO-FACE NONPHYSICIAN,$500.00,
3203,99367,PR TEAM CONFERENCE NON-FACE-TO-FACE PHYSICIAN,$500.00,
3204,99385,"PR PREVENTIVE VISIT,NEW,18-39",$277.00,
